plate,status
8814NN,active
4160NM,active
1036NN,active
0268NR,active
6973NN,active
4025NN,active
8830NN,active
7381NN,active
8333NN,active
6986NN,active
5973NN,active
4448NC,active
8662NG,active
7097NN,active
8189NN,active
0191NO,active
4856NM,active
7411NN,active
8655NN,active
8729NN,active
1500NN,active
9471NN,active
7011NL,active
0066NO,active
0727NN,active
3485NN,active
8353NN,active
4097NN,active
2500NC,active
7435NN,active
0010NR,active
0062NR,active
3872NP,active
3874NP,active
3875NP,active
3879NP,active
3881NP,active
3882NP,active
3883NP,active
3886NP,active
3887NP,active
3888NP,active
3890NP,active
3896NP,active
3905NP,active
3909NP,active
3910NP,active
4053NP,active
4055NP,active
4062NP,active
4064NP,active
4067NP,active
4068NP,active
4069NP,active
4070NP,active
4071NP,active
4073NP,active
4818NQ,active
4820NQ,active
4829NQ,active
4985NP,active
5477NQ,active
6079NN,active
6081NN,active
